District(D)/Taluk(T)/Hobli(H),Name,Normal (mm),Actual (mm),% DEP
H,Balegodu,1790,2260,26
H,Hanbalu,2377,3728,57
H,Hettur,2218,4305,94
H,Yaslur,1783,3254,82
D,CHIKKAMAGALURU,1833,2278,24
T,CHIKKAMAGALURU,836,2069,148
H,Chikkamagaluru,836,1590,90
H,Amble,938,1493,59
H,Aldur,1643,2548,55
H,Sangmeswrpet,2339,2580,10
H,Lakya,1283,1315,2
H,Avathi,1340,2699,101
H,Jagar,909,2307,154
H,Vasthare,1048,2388,128
T,Kadur,639,1056,65
H,Kadur,639,1004,57
H,Birur,677,1032,53
H,Hirenalluru,643,1079,68
H,Sakkarepatna,813,1126,38
H,Shingatagere,630,1038,65
H,Yagati,632,1065,68
H,Panchanahalli,594,1128,90
T,Koppa,2907,3510,21
H,Koppa,2907,3378,16
H,Hariharpur,3046,3604,18
H,Meguda,3122,3450,11
T,Mudigere,2315,3616,56
H,Mudigere,2315,2850,23
H,Bankal,4139,3485,-16
H,Gonibidu,2268,3918,73
H,Kalasa,3491,3903,12
H,Baluru,3866,2999,-22
T,NARASIMHARAJAPURA,1609,2376,48
H,Narasimharajapur,1609,2046,27
H,Balehonnur,2590,2592,0
T,Sringeri,3887,4735,22
H,Sringeri,3887,3892,0
H,Kigga,4377,4886,12
T,Tarikere,914,1350,48
H,Tarikere,914,1289,41
H,Amrutapur,881,1148,30
H,Lakavalli,1256,1640,31
H,Lingadahalli,825,1242,50
T,Ajjampura,669,1205,80
H,Ajjampura,669,1163,74
H,Chowlahiriyur,607,1199,97
H,Shivani,575,1143,99
H,Amrutpura,698,1315,88
H,Hirenalluru,645,1054,63
D,KODAGU,2729,3036,11
T,Madikeri,3265,4214,29
H,Madikeri,3265,3957,21
H,Bhagamandala,5784,5163,-11
H,Napoklu,2833,3260,15
H,Sampaje,4418,4782,8
T,Somwarpet,2098,2397,14
H,Somwarpet,2098,2250,7
H,Kodlipet,1613,1986,23
H,Kushalnagar,978,1690,73
H,Sanivarsante,1863,1941,4
H,Santhahalli,2294,3672,60
H,Suntikoppa,1589,2561,61
T,Virajpet,2468,2312,-6
H,Virajpet,2468,2587,5
H,Ammati,1992,2015,1
H,Blale,1798,1798,0
H,Hudakere,2403,3018,26
H,Ponnampet,2267,2019,-11
H,Srimangala,2753,2466,-10
D,DAKSHINA KANNADA,4006,4383,9
T,Beltangadi,4426,4643,5
H,Belthangady,4426,4541,3
H,Kokkada,4261,4670,10
H,Venur,4117,4863,18
T,Bantwal,3856,3904,1
H,Bantwal,3856,4312,12
H,Pane Mangalore,3885,3832,-1
H,Vittal,3984,3715,-7
T,Mangaluru,3609,3354,-7
H,Mangaluru_A,3609,2564,-29
H,Mangaluru_B,3631,3419,-6
H,Gurpur,3801,3639,-4
H,Mulki,3788,3439,-9
H,Suratkal,3834,3514,-8
T,Puttur,4058,3924,-3
H,Puttur,4058,3845,-5
H,Uppinangadi,3939,4012,2
T,Sulya,3592,4859,35
H,Sullia,3592,4690,31
H,Panaje,4015,5141,28
T,Mudabidri,4010,4608,15
H,Mudbidri,4010,4600,15
T,Kadaba,4135,4747,15
H,Kadaba,4135,4520,9
H,Panaje,4215,5014,19
H,Uppinangadi,3495,5040,44
D,UDUPI,4535,4672,3
T,Karkala,4777,4540,-5
H,Karkala,4777,4410,-8
H,Ajekar,4755,4923,4
T,Kundapur,3786,4526,20
H,Kundapur,3786,4423,17
H,Vandse,4260,4548,7
T,Udupi,3862,4095,6
H,Udupi,3862,3940,2
H,Brahmavara,4333,4193,-3
T,Bynduru,4428,5316,20
H,Bainduru,4428,5284,19
T,Bramhavara,4043,4155,3
H,Brahmavara,4043,4109,2
H,Kota,3525,4031,14
T,Kapu,3757,3845,2
H,Kapu,3757,3823,2
T,Hebri,5802,5765,-1
H,Ajekar,5802,5730,-1
H,Kundapur,5073,5806,14
D,UTTARA KANNADA,2936,2981,2
T,Ankola,3532,3542,0
H,Ankola,3532,3574,1
H,Belikere,3517,3406,-3
H,Basagod,3438,3292,-4
H,Blale,3364,3428,2
T,Bhatkal,4322,4608,7
H,Susgadi,4322,4736,10
H,Mavalli,4071,4460,10
T,Haliyal,1339,1593,19
H,Haliyal,1339,1533,14
H,Murkvad,1061,1399,32
H,Sambrani,1260,1603,27
H,Dandeli,1371,1672,22
T,Honnavar,3728,4096,10
H,Honnavar,3728,3957,6
H,Manki,3668,4072,11
H,Mavinakurvei,3869,4185,8
T,Karwar,3234,3416,6
H,Baad,3234,3415,6
H,Ghadasaya,3611,3182,-12
H,Kinnar,3448,3472,1
H,Savantvada,3329,3292,-1
T,Kumta,3523,3783,7
H,Kumta,3523,3611,3
H,Gokarna,3243,3315,2
H,Kujahalli,3978,3823,-4
H,Mirjan,3526,3746,6
T,Mundgod,1438,1651,15
H,Mundgod,1438,1596,11
H,Pala,1243,1788,44
T,SIDDAPUR,3016,3714,23
H,Umbalamani,4456,3444,-23
H,Siddapura,3016,3130,4
H,Kodkani,3371,4249,26
T,SIRSI,2360,3230,37
H,Sirsi,2360,2753,17
H,Banavasi,1511,2241,48
H,Hulekal,2174,3143,45
H,Sampakanda,4141,4375,6
T,SUPA,2578,2723,6
H,Supa,2578,2229,-14
H,Kasalrock,4658,3972,-15
H,Kumbarawada,3073,2260,-26
T,YELLAPUR,2668,2313,-13
H,Yellapur,2668,2588,-3
H,Manchikeri,1989,2119,7
T,Dandelli,1540,1586,3
H,Dhandeli,1540,1600,4
D,YADGIR,719,933,30
T,Shahapur,848,891,5
H,Shahpur,848,932,10
H,Doranahlli,816,883,8
H,Gogi,775,948,22
H,Hayyalbuzurg,735,983,34
T,Shorapur,721,894,24
H,Shorapur,721,1005,39
H,Kakkeri,576,892,55
H,Kembhavi,584,914,57
T,Yadgir,908,926,2
H,Yadgir,908,899,-1
H,Balichakra,773,828,7
H,Hattikuni,854,1027,20
H,Saidapur,754,1003,33
T,Gurumithakala,773,1011,31
H,Gurmitakal,773,1025,33
H,Konakal,776,1078,39
H,Balichakra,763,1077,41
T,Vadagera,617,958,55
H,Wadagera,617,1014,64
H,Doranahlli,715,1178,65
H,Hayyala Buzurg,722,955,32
T,Hunisigi,501,869,74
H,Hunasagi,501,928,85
H,Kodekal,622,892,44
H,Kakkera,571,890,56
D,VIJAYANAGAR,643,927,44
T,Hosapete,704,858,22
H,Hospet,704,805,14
H,Kamalapura,658,924,40
H,Mariyammanahalli,673,793,18
T,Hadagali,641,1018,59
H,Hadagali,641,912,42
H,Hirehadagalli,652,989,52
H,Ittigi,667,1072,61
T,HAGARIBOMMANAHALLI,635,852,34
H,Hagaribommanahalli,635,738,16
H,Hampa Sagara,617,954,55
H,Tambarahalli,628,846,35
H,Kogali,617,806,31
T,HARAPPANAHALLI,755,1015,35
H,Harapanahalli,755,900,19
H,Arasikere,656,1100,68
H,Chigateri,761,879,16
H,Telagi,665,1139,71
T,Kotturu,533,963,81
H,Kotturu,533,955,79
H,Kogali,641,890,39
H,Hoshalli,560,893,59
T,Kampli,531,904,70
H,Kampli,531,865,63
H,Kurugodu,553,937,70
,1.SIK,714,1246,75
,2.NIK,702,915,30
,3.MALNAD,1950,2303,18
,4.COASTAL,3518,3672,4
,State,1153,1474,28
