District(D)/Taluk(T)/Hobli(H),Name,Normal (mm),Actual (mm),% DEP
H,Bannur,721,1000,39
H,Muguru,781,894,14
H,Sosale,738,1092,48
H,Talakad,777,942,21
T,Saraguru,949,898,-5
H,Saraguru,949,860,-9
H,B.Matakere,937,923,-2
D,MANDYA,699,1011,45
T,Krishnarajapet,747,925,24
H,Krishnarajapet,747,945,26
H,Akkihebalu,699,784,12
H,Bukanakere,700,788,13
H,Kikkeri,719,856,19
H,Santebachahalli,652,1107,70
H,Silanare,698,1050,51
T,Maddur,767,973,27
H,Madduru_2,767,1005,31
H,Koppa_2,883,959,9
H,Chikkaarasinakere_1,753,982,30
H,Autaguru,779,1146,47
H,Madduru_1,758,972,28
H,Koppa_2,739,990,34
H,Koppa_1,832,913,10
H,Koppa_3,769,968,26
H,Chikaarasinakere_2,742,797,7
H,Chikaarasinakere_3,734,734,0
T,Malavalli,703,973,39
H,Malavalli_1,703,925,32
H,Halaguru,799,980,23
H,Kirgavalu_1,719,1128,57
H,B G Pura_2,778,1024,32
H,Malavalli_2,748,864,15
H,Malavalli_3,772,839,9
H,Kirgavalu_2,721,935,30
H,Kirgavalu_3,719,1007,40
H,B G Pura_1,773,989,28
T,Mandya,699,1008,44
H,Mandya_1,699,930,33
H,Basaralu_1,610,999,64
H,Dudda_1,649,1016,57
H,Keragodu_1,735,1263,72
H,Kottatti_1,697,899,29
H,Mandya_2,737,920,25
H,Kottatti_2,709,941,33
H,Keragodu_2,747,1202,61
H,Dudda_2,681,961,41
H,Basaralu_2,796,941,18
T,Nagamangala,765,1147,50
H,Nagamangala,765,1109,45
H,Belluru,520,1415,172
H,Bendaganavele,556,1186,113
H,Devalapura,692,1081,56
H,Honakere,465,980,111
T,Pandavapura,679,1001,47
H,Pandavapura_1,679,971,43
H,Chinkurali,684,1022,49
H,Melukote,702,1013,44
H,Pandavapura_2,660,949,44
T,Srirangapatna,638,1006,58
H,Srirangapatna,638,1031,62
H,Arakere,701,1038,48
H,Belagola,748,818,9
H,K Shettihalli_2,650,1070,65
H,K Shettihalli_1,643,1084,69
D,BALLARI,599,684,14
T,Ballari,516,710,38
H,Ballari,516,670,30
H,Moka,524,711,36
H,Rupanagudi,505,824,63
H,Koluru,525,609,16
T,KUDLIGI,590,696,18
H,Kudligi,590,818,39
H,Gudekote,521,602,15
H,Hosahalli,504,742,47
T,Sandur,819,786,-4
H,Sandur,819,800,-2
H,Choranuru,627,824,31
H,Toranagallu,612,710,16
T,Siruguppa,675,631,-7
H,Siruguppa,675,633,-6
H,Hachcholli,655,634,-3
H,Karuru,563,677,20
H,Tekkalakote,630,597,-5
T,Kurugodu,499,616,23
H,Kurugodu,499,582,16
H,Koluru,514,667,30
D,KOPPALA,614,640,4
T,Gangavathi,583,589,1
H,Gangavathi,583,674,16
H,Marali,571,509,-11
H,Venkatagiri,586,582,-1
T,KOPPALA,635,727,14
H,Koppal,635,899,42
H,Alawandi,587,603,3
H,Hitnal,640,667,4
H,Irkalgada,627,706,13
T,Kushtagi,597,648,9
H,Kushtagi,597,633,6
H,Hanumanhal,658,654,-1
H,Hanamsagar,627,578,-8
H,Tavaragera,591,744,26
T,Yelburga,597,596,0
H,Yelburga,597,599,0
H,Hire Wankalkunti,595,615,3
T,Karatagi,640,551,-14
H,Karatgi,640,566,-12
H,Siddapur,593,539,-9
T,Kukanuru,693,617,-11
H,Kukanoor,693,600,-13
H,Manglur,630,658,4
T,Kanakagiri,525,590,12
H,Kanakagiri,525,580,10
H,Hulihaider,558,677,21
H,Nauli,595,548,-8
D,RAICHUR,654,624,-5
T,Deodurga,759,567,-25
H,Devadurga,759,643,-15
H,Arakeri,658,491,-25
H,Gabbur,683,565,-17
H,Jalihalli,690,548,-21
T,Lingsugur,631,643,2
H,Lingasuguru,631,670,6
H,Gurgunta,622,628,1
H,Mudgal,624,642,3
T,Manvi,652,656,1
H,Manvi,652,614,-6
H,Hire Katankal,644,780,21
