District(D)/Taluk(T)/Hobli(H),Name,Normal (mm),Actual (mm),%DEP
H,Bendaganavele,556,873,57
H,Devalapura,692,849,23
H,Honakere,465,653,40
T,Pandavapura,679,892,31
H,Pandavapura_1,679,956,41
H,Chinkurali,684,900,32
H,Melukote,702,843,20
H,Pandavapura_2,660,883,34
T,Srirangapatna,638,847,33
H,Srirangapatna,638,870,36
H,Arakere,701,838,20
H,Belagola,748,902,21
H,K Shettihalli_2,650,784,21
H,K Shettihalli_1,643,805,25
D,BALLARI,614,814,33
T,Ballari,516,716,39
H,Ballari,516,692,34
H,Moka,524,773,48
H,Rupanagudi,505,690,37
H,Koluru,525,724,38
T,Hadagali,641,796,24
H,Hadagali,641,809,26
H,Hirehadagalli,652,775,19
H,Ittigi,667,800,20
T,Hosapete,704,894,27
H,Hospet,704,956,36
H,Kamalapura,658,811,23
H,Mariyammanahalli,673,952,41
T,Hagaribommanahalli,635,853,34
H,Hagaribommanahalli,635,768,21
H,Hampa Sagara,617,830,35
H,Tambarahalli,628,928,48
H,Kogali,617,843,37
T,Kudligi,590,768,30
H,Kudligi,590,860,46
H,Gudekote,521,789,51
H,Hosahalli,504,697,38
T,Sandur,819,1008,23
H,Sandur,819,1105,35
H,Choranuru,627,1048,67
H,Toranagallu,612,820,34
T,Siruguppa,675,759,12
H,Siruguppa,675,797,18
H,Hachcholli,655,704,7
H,Karuru,563,743,32
H,Tekkalakote,630,781,24
T,Harappanahalli,755,833,10
H,Harapanahalli,755,852,13
H,Arasikere,656,867,32
H,Chigateri,761,862,13
H,Telagi,665,747,12
T,Kurugodu,499,685,37
H,Kurugodu,499,683,37
H,Koluru,514,687,34
T,Kotturu,533,758,42
H,Kotturu,533,747,40
H,Kogali,641,709,11
H,Hoshalli,560,888,59
T,Kampli,531,746,40
H,Kampli,531,757,43
H,Kurugodu,553,691,25
D,KOPPALA,614,849,38
T,Gangavathi,583,726,25
H,Gangavathi,583,826,42
H,Marali,571,642,12
H,Venkatagiri,586,721,23
T,Koppala,635,927,46
H,Koppal,635,929,46
H,Alawandi,587,785,34
H,Hitnal,640,993,55
H,Irkalgada,627,1093,74
T,Kushtagi,597,846,42
H,Kushtagi,597,898,51
H,Hanumanhal,658,911,38
H,Hanamsagar,627,816,30
H,Tavaragera,591,773,31
T,Yelburga,597,829,39
H,Yelburga,597,843,41
H,Hire Wankalkunti,595,799,34
T,Karatagi,640,836,31
H,Karatgi,640,911,42
H,Siddapur,593,757,28
T,Kukanuru,693,846,22
H,Kukanoor,693,834,20
H,Manglur,630,872,38
T,Kanakagiri,525,800,52
H,Kanakagiri,525,871,66
H,Hulihaider,558,775,39
H,Nauli,595,745,25
D,RAICHUR,654,826,26
T,Deodurga,759,798,5
H,Devadurga,759,863,14
H,Arakeri,658,709,8
H,Gabbur,683,866,27
H,Jalihalli,690,732,6
T,Lingsugur,631,796,26
H,Lingasuguru,631,782,24
H,Gurgunta,622,789,27
H,Mudgal,624,817,31
T,Manvi,652,822,26
H,Manvi,652,857,32
H,Hire Katankal,644,795,24
